intersect,genes
Sub,ENSG00000233609
Sub,ENSG00000090097
Sub,ENSG00000145526
Sub,ENSG00000141013
Sub,ENSG00000099331
Sub,ENSG00000164329
Sub,ENSG00000221882
Sub,ENSG00000081189
Sub,ENSG00000157330
Sub,ENSG00000143156
Sub,ENSG00000120500
Sub,ENSG00000009413
Sub,ENSG00000057294
Sub,ENSG00000108018
Sub,ENSG00000186204
Sub,ENSG00000130511
Sub,ENSG00000133115
Sub,ENSG00000196312
Sub,ENSG00000115649
Sub,ENSG00000137075
Sub,ENSG00000140481
Sub,ENSG00000130940
Sub,ENSG00000137274
Sub,ENSG00000106066
Sub,ENSG00000171295
Sub,ENSG00000167173
Sub,ENSG00000105829
Sub,ENSG00000205356
Sub,ENSG00000196072
Sub,ENSG00000067048
Sub,ENSG00000103569
Sub,ENSG00000174576
Sub,ENSG00000205581
Sub,ENSG00000187147
Sub,ENSG00000099625
Sub,ENSG00000178585
Sub,ENSG00000101974
Sub,ENSG00000103126
Sub,ENSG00000146540
Sub,ENSG00000167130
Sub,ENSG00000124205
Sub,ENSG00000164404
Sub,ENSG00000176476
Sub,ENSG00000172716
Sub,ENSG00000184887
Sub,ENSG00000177627
Sub,ENSG00000221986
Sub,ENSG00000227152
Sub,ENSG00000165480
Sub,ENSG00000095970
Sub,ENSG00000170703
aINS,ENSG00000163872
aINS,ENSG00000203661
aINS,ENSG00000049449
aINS,ENSG00000185834
aINS,ENSG00000132424
aINS,ENSG00000249055
aINS,ENSG00000258780
aINS,ENSG00000237257
aINS,ENSG00000176956
aINS,ENSG00000186350
aINS,ENSG00000151718
aINS,ENSG00000078269
aINS,ENSG00000008382
aINS,ENSG00000116171
aINS,ENSG00000157557
aINS,ENSG00000099364
aINS,ENSG00000135905
aINS,ENSG00000136861
aINS,ENSG00000173327
aINS,ENSG00000103024
aINS,ENSG00000114646
aINS,ENSG00000154330
aINS,ENSG00000102547
aINS,ENSG00000180901
aINS,ENSG00000205129
aINS,ENSG00000100350
aINS,ENSG00000108387
aINS,ENSG00000165675
aINS,ENSG00000140939
aINS,ENSG00000165458
aINS,ENSG00000079432
aINS,ENSG00000027075
aINS,ENSG00000020181
aINS,ENSG00000184110
aINS,ENSG00000180537
aINS,ENSG00000100473
aINS,ENSG00000167371
aINS,ENSG00000100351
aINS,ENSG00000125409
aINS,ENSG00000127980
aINS,ENSG00000253304
aINS,ENSG00000139517
aINS,ENSG00000286140
aINS,ENSG00000147509
aINS,ENSG00000088727
aINS,ENSG00000224916
aINS,ENSG00000161921
aINS,ENSG00000251192
aINS,ENSG00000107789
aINS,ENSG00000162599
aINS,ENSG00000280670
aINS,ENSG00000104894
aINS,ENSG00000163793
aINS,ENSG00000051620
aINS,ENSG00000206053
aINS,ENSG00000242114
aINS,ENSG00000243678
aINS,ENSG00000188599
aINS,ENSG00000007062
aINS,ENSG00000068354
aINS,ENSG00000167619
aINS,ENSG00000185262
aINS,ENSG00000092470
Cg25,ENSG00000241644
Cg25,ENSG00000113460
Cg25,ENSG00000285607
Cg25,ENSG00000104998
Cg25,ENSG00000237649
Cg25,ENSG00000213569
Cg25,ENSG00000171792
Cg25,ENSG00000123815
Cg25,ENSG00000008323
Cg25,ENSG00000105143
Cg25,ENSG00000184524
Cg25,ENSG00000144591
Cg25,ENSG00000197380
Cg25,ENSG00000184897
Cg25,ENSG00000187398
Cg25,ENSG00000174197
Cg25,ENSG00000123329
Cg25,ENSG00000130224
Cg25,ENSG00000144278
Cg25,ENSG00000135315
Cg25,ENSG00000197748
Cg25,ENSG00000128298
Cg25,ENSG00000172361
Cg25,ENSG00000230097
Cg25,ENSG00000219507
Cg25,ENSG00000082805
Cg25,ENSG00000180155
Cg25,ENSG00000118514
Cg25,ENSG00000198794
Cg25,ENSG00000105877
Cg25,ENSG00000198618
Cg25,ENSG00000151332
Cg25,ENSG00000172262
Cg25,ENSG00000135205
Cg25,ENSG00000146416
Cg25,ENSG00000149925
Cg25,ENSG00000118412
Cg25,ENSG00000117013
Cg25,ENSG00000151422
Cg25,ENSG00000122691
Cg25,ENSG00000117425
Cg25,ENSG00000197121
Cg25,ENSG00000136770
Cg25,ENSG00000154473
Cg25,ENSG00000154479
Cg25,ENSG00000173641
Cg25,ENSG00000105223
Cg25,ENSG00000145779
Cg25,ENSG00000070423
Cg25,ENSG00000177398
Cg25,ENSG00000114391
Cg25,ENSG00000044459
Cg25,ENSG00000256310
Cg25,ENSG00000013725
Cg25,ENSG00000197483
