intersect,genes
Cg25_male,ENSG00000110075
Cg25_male,ENSG00000180817
Cg25_male,ENSG00000151572
Cg25_male,ENSG00000164929
Cg25_male,ENSG00000187243
Cg25_male,ENSG00000134759
Cg25_male,ENSG00000166478
Cg25_male,ENSG00000196169
Cg25_male,ENSG00000042317
Cg25_male,ENSG00000184009
Cg25_male,ENSG00000140873
Cg25_male,ENSG00000173567
Cg25_male,ENSG00000112414
Cg25_male,ENSG00000162618
Cg25_male,ENSG00000106624
Cg25_male,ENSG00000180777
Cg25_male,ENSG00000057663
Cg25_male,ENSG00000139044
Cg25_male,ENSG00000152611
Cg25_male,ENSG00000235505
Cg25_male,ENSG00000141570
Cg25_male,ENSG00000134057
Cg25_male,ENSG00000107443
Cg25_male,ENSG00000116815
Cg25_male,ENSG00000166091
Cg25_male,ENSG00000102879
Cg25_male,ENSG00000116133
Cg25_male,ENSG00000134516
Cg25_male,ENSG00000100129
Cg25_male,ENSG00000240445
Cg25_male,ENSG00000105255
Cg25_male,ENSG00000226124
Cg25_male,ENSG00000167674
Cg25_male,ENSG00000102241
Cg25_male,ENSG00000148943
Cg25_male,ENSG00000146006
Cg25_male,ENSG00000168067
Cg25_male,ENSG00000090971
Cg25_male,ENSG00000178685
Cg25_male,ENSG00000174827
Cg25_male,ENSG00000183571
Cg25_male,ENSG00000166428
Cg25_male,ENSG00000163932
Cg25_male,ENSG00000204628
Cg25_male,ENSG00000117602
Cg25_male,ENSG00000121039
Cg25_male,ENSG00000137275
Cg25_male,ENSG00000164610
Cg25_male,ENSG00000149273
Cg25_male,ENSG00000063015
Cg25_male,ENSG00000167447
Cg25_male,ENSG00000250317
Cg25_male,ENSG00000077312
Cg25_male,ENSG00000162236
Cg25_male,ENSG00000132604
Cg25_male,ENSG00000154096
Cg25_male,ENSG00000145107
Cg25_male,ENSG00000118271
Cg25_male,ENSG00000140367
Cg25_male,ENSG00000167671
Cg25_male,ENSG00000111186
Cg25_male,ENSG00000198538
