intersect,genes
OFC_female,ENSG00000198561
OFC_female,ENSG00000179593
OFC_female,ENSG00000125818
OFC_female,ENSG00000145888
OFC_female,ENSG00000173402
OFC_female,ENSG00000197050
OFC_female,ENSG00000106302
OFC_female,ENSG00000205220
OFC_female,ENSG00000131778
OFC_female,ENSG00000127184
OFC_female,ENSG00000230359
OFC_female,ENSG00000242247
OFC_female,ENSG00000196166
OFC_female,ENSG00000171551
OFC_female,ENSG00000076248
OFC_female,ENSG00000100380
OFC_female,ENSG00000127838
OFC_female,ENSG00000005700
OFC_female,ENSG00000165269
OFC_female,ENSG00000138760
OFC_female,ENSG00000198088
OFC_female,ENSG00000164265
OFC_female,ENSG00000164978
OFC_female,ENSG00000118473
OFC_female,ENSG00000113048
OFC_female,ENSG00000104679
OFC_female,ENSG00000115310
OFC_female,ENSG00000122591
OFC_female,ENSG00000213246
OFC_female,ENSG00000171992
OFC_female,ENSG00000119547
OFC_female,ENSG00000165376
OFC_female,ENSG00000148481
OFC_female,ENSG00000113013
OFC_female,ENSG00000089169
OFC_female,ENSG00000089876
OFC_female,ENSG00000111254
OFC_female,ENSG00000068796
OFC_female,ENSG00000150756
OFC_female,ENSG00000105248
OFC_female,ENSG00000114480
OFC_female,ENSG00000214253
OFC_female,ENSG00000005238
OFC_female,ENSG00000086200
OFC_female,ENSG00000145506
OFC_female,ENSG00000036565
OFC_female,ENSG00000074201
OFC_female,ENSG00000101940
OFC_female,ENSG00000167962
OFC_female,ENSG00000213782
OFC_female,ENSG00000143420
OFC_female,ENSG00000171503
OFC_female,ENSG00000146729
OFC_female,ENSG00000143774
OFC_female,ENSG00000147669
OFC_female,ENSG00000151952
OFC_female,ENSG00000159685
OFC_female,ENSG00000088367
OFC_female,ENSG00000095139
OFC_female,ENSG00000182768
OFC_female,ENSG00000063244
OFC_female,ENSG00000167740
OFC_female,ENSG00000163512
OFC_female,ENSG00000230601
OFC_female,ENSG00000012061
OFC_female,ENSG00000171033
