intersect,genes
female,ENSG00000127589
female,ENSG00000270585
female,ENSG00000135976
female,ENSG00000239840
female,ENSG00000123485
female,ENSG00000178607
female,ENSG00000137857
female,ENSG00000134013
female,ENSG00000224003
female,ENSG00000228057
female,ENSG00000170291
female,ENSG00000123843
female,ENSG00000167196
female,ENSG00000144644
female,ENSG00000182983
female,ENSG00000142661
female,ENSG00000173077
female,ENSG00000149483
female,ENSG00000196993
female,ENSG00000225008
female,ENSG00000217416
female,ENSG00000174944
female,ENSG00000185823
female,ENSG00000185436
female,ENSG00000248771
female,ENSG00000166523
female,ENSG00000217783
female,ENSG00000223984
female,ENSG00000189051
female,ENSG00000227073
female,ENSG00000099977
female,ENSG00000269955
female,ENSG00000109917
female,ENSG00000238118
female,ENSG00000243746
female,ENSG00000215812
female,ENSG00000242683
female,ENSG00000167977
female,ENSG00000183826
female,ENSG00000130300
female,ENSG00000151657
female,ENSG00000206418
female,ENSG00000284631
female,ENSG00000257108
female,ENSG00000069764
female,ENSG00000132424
female,ENSG00000249055
female,ENSG00000258780
female,ENSG00000237257
female,ENSG00000262583
female,ENSG00000284283
female,ENSG00000182168
female,ENSG00000183185
female,ENSG00000170956
female,ENSG00000130522
female,ENSG00000254430
female,ENSG00000268598
female,ENSG00000233609
female,ENSG00000055118
female,ENSG00000090238
female,ENSG00000198815
female,ENSG00000129009
female,ENSG00000166448
female,ENSG00000140488
female,ENSG00000151092
female,ENSG00000157103
female,ENSG00000131323
female,ENSG00000101945
female,ENSG00000118689
female,ENSG00000114354
female,ENSG00000105976
female,ENSG00000157502
female,ENSG00000197177
female,ENSG00000065609
female,ENSG00000009830
female,ENSG00000122034
female,ENSG00000159840
female,ENSG00000198133
female,ENSG00000197826
female,ENSG00000257591
female,ENSG00000144191
female,ENSG00000166840
female,ENSG00000165175
female,ENSG00000137166
female,ENSG00000166532
female,ENSG00000048052
female,ENSG00000188042
female,ENSG00000164087
female,ENSG00000146469
female,ENSG00000099957
female,ENSG00000170144
female,ENSG00000163032
female,ENSG00000178602
female,ENSG00000184156
female,ENSG00000129824
female,ENSG00000218891
female,ENSG00000100354
female,ENSG00000127022
female,ENSG00000180008
female,ENSG00000100650
female,ENSG00000136379
female,ENSG00000102245
female,ENSG00000104687
female,ENSG00000148303
female,ENSG00000231584
female,ENSG00000178385
female,ENSG00000108561
female,ENSG00000184182
female,ENSG00000277149
female,ENSG00000154582
female,ENSG00000101473
female,ENSG00000142541
female,ENSG00000118096
female,ENSG00000158296
female,ENSG00000122642
female,ENSG00000158201
female,ENSG00000179632
