node_id	alias	shape	size	color	x	y	weight
184	FUBP1	ELLIPSE	20.0	#ffcccc	-555.03	-64.46	0.0
185	HNRNPA1	ELLIPSE	20.0	#ffcccc	-502.11	1.64	0.0
186	RBM17	ELLIPSE	20.0	#ffcccc	-486.54	-368.44	0.0
187	SF1	ELLIPSE	20.0	#ffcccc	-537.95	-217.15	0.0
188	SFPQ	ELLIPSE	20.0	#ffcccc	-419.46	-124.53	0.0
189	SART1	ELLIPSE	20.0	#ffcccc	-641.45	-363.58	0.0
190	SF3B5	ELLIPSE	20.0	#ffcccc	-670.38	-137.05	0.0
191	SNRPB2	ELLIPSE	20.0	#ffcccc	-618.06	-273.76	0.0
192	ATP5F1E	ELLIPSE	20.0	#ffcccc	-895.75	229.43	0.0
193	MT-CO3	ELLIPSE	20.0	#ffcccc	-1099.23	126.5	0.0
194	PPA2	ELLIPSE	20.0	#ffcccc	-1088.49	531.2	0.0
195	UQCR11	ELLIPSE	20.0	#ffcccc	-1067.87	183.05	0.0
196	NDUFB2	ELLIPSE	20.0	#ffcccc	-943.76	124.45	0.0
197	COX6C	ELLIPSE	20.0	#ffcccc	-1030.7	95.87	0.0
198	COX7C	ELLIPSE	20.0	#ffcccc	-746.18	121.49	0.0
199	CLPP	ELLIPSE	20.0	#ffcccc	-1501.41	-67.07	0.0
200	DNAJC8	ELLIPSE	20.0	#ffcccc	-498.07	-312.41	0.0
201	HTATSF1	ELLIPSE	20.0	#ffcccc	-768.73	-416.11	0.0
202	DDX46	ELLIPSE	20.0	#ffcccc	-679.14	-392.08	0.0
203	RAB40A	ELLIPSE	20.0	#ffcccc	-523.68	618.43	0.0
204	RAB8B	ELLIPSE	20.0	#ffcccc	87.23	799.16	0.0
205	CCT3	ELLIPSE	20.0	#ffcccc	-314.18	-25.23	0.0
206	HLA-DRA	ELLIPSE	20.0	#ffcccc	249.25	406.39	0.0
207	KCNH2	ELLIPSE	20.0	#ffcccc	-537.66	320.11	0.0
208	PIN1	ELLIPSE	20.0	#ffcccc	-217.32	562.25	0.0
209	NCOR2	ELLIPSE	20.0	#ffcccc	-322.34	623.59	0.0
210	PPP2R5A	ELLIPSE	20.0	#ffcccc	-2.39	585.36	0.0
211	PRKCD	ELLIPSE	20.0	#ffcccc	-265.33	779.62	0.0
212	AXIN1	ELLIPSE	20.0	#ffcccc	-124.18	645.8	0.0
213	IRF3	ELLIPSE	20.0	#ffcccc	-144.55	435.93	0.0
214	JPT2	ELLIPSE	20.0	#ffcccc	292.0	-366.88	0.0
215	STMN1	ELLIPSE	20.0	#ffcccc	52.83	-136.77	0.0
216	MAP2K3	ELLIPSE	20.0	#ffcccc	110.18	610.62	0.0
217	SIPA1L2	ELLIPSE	20.0	#ffcccc	507.75	1035.82	0.0
218	BDNF	ELLIPSE	20.0	#ffcccc	-89.66	897.5	0.0
219	SLX1A	ELLIPSE	20.0	#ffcccc	-739.57	915.35	0.0
220	ERCC4	ELLIPSE	20.0	#ffcccc	-550.31	553.85	0.0
